,data,valor
0,01/01/1991,20.27
1,01/02/1991,19.62
2,01/03/1991,13.45
3,01/04/1991,4.85
4,01/05/1991,8.15
5,01/06/1991,11.39
6,01/07/1991,12.52
7,01/08/1991,0.0
8,01/09/1991,33.39
9,01/10/1991,18.86
10,01/11/1991,24.68
11,01/12/1991,24.28
12,01/01/1992,25.76
13,01/02/1992,24.24
14,01/03/1992,21.77
15,01/04/1992,20.23
16,01/05/1992,24.96
17,01/06/1992,20.23
18,01/07/1992,21.95
19,01/08/1992,21.65
20,01/09/1992,24.19
21,01/10/1992,25.17
22,01/11/1992,23.66
23,01/12/1992,24.92
24,01/01/1993,30.22
25,01/02/1993,24.77
26,01/03/1993,27.42
27,01/04/1993,27.04
28,01/05/1993,27.71
29,01/06/1993,30.12
30,01/07/1993,30.45
31,01/08/1993,32.73
32,01/09/1993,35.71
33,01/10/1993,34.28
34,01/11/1993,35.91
35,01/12/1993,36.45
36,01/01/1994,40.32
37,01/02/1994,40.2
38,01/03/1994,42.11
39,01/04/1994,42.88
40,01/05/1994,45.89
41,01/06/1994,46.88
42,01/07/1994,7.04
43,01/08/1994,1.8
44,01/09/1994,1.73
45,01/10/1994,1.94
46,01/11/1994,2.5
47,01/12/1994,2.3
48,01/01/1995,2.31
49,01/02/1995,1.52
50,01/03/1995,1.75
51,01/04/1995,2.8
52,01/05/1995,3.52
53,01/06/1995,3.12
54,01/07/1995,2.79
55,01/08/1995,1.23
56,01/09/1995,1.33
57,01/10/1995,1.43
58,01/11/1995,1.54
59,01/12/1995,1.76
60,01/01/1996,1.35
61,01/02/1996,1.37
62,01/03/1996,0.49
63,01/04/1996,0.8
64,01/05/1996,1.33
65,01/06/1996,1.31
66,01/07/1996,1.25
67,01/08/1996,0.61
68,01/09/1996,0.28
69,01/10/1996,0.23
70,01/11/1996,0.45
71,01/12/1996,0.5
72,01/01/1997,0.76
73,01/02/1997,0.45
74,01/03/1997,0.31
75,01/04/1997,1.03
76,01/05/1997,0.78
77,01/06/1997,0.72
78,01/07/1997,0.44
79,01/08/1997,0.08
80,01/09/1997,0.1
81,01/10/1997,0.2
82,01/11/1997,-0.04
83,01/12/1997,0.18
84,01/01/1998,0.49
85,01/02/1998,0.44
86,01/03/1998,0.13
87,01/04/1998,0.04
88,01/05/1998,0.22
89,01/06/1998,0.0
90,01/07/1998,0.13
91,01/08/1998,-0.17
92,01/09/1998,-0.12
93,01/10/1998,0.04
94,01/11/1998,0.04
95,01/12/1998,0.16
96,01/01/1999,0.57
97,01/02/1999,0.66
98,01/03/1999,0.83
99,01/04/1999,0.61
100,01/05/1999,0.51
101,01/06/1999,0.4
102,01/07/1999,0.63
103,01/08/1999,0.43
104,01/09/1999,0.23
105,01/10/1999,0.9
106,01/11/1999,0.42
107,01/12/1999,0.46
108,01/01/2000,0.63
109,01/02/2000,0.32
110,01/03/2000,0.16
111,01/04/2000,0.62
112,01/05/2000,0.19
113,01/06/2000,0.31
114,01/07/2000,0.82
115,01/08/2000,0.43
116,01/09/2000,0.26
117,01/10/2000,0.22
118,01/11/2000,0.29
119,01/12/2000,0.3
120,01/01/2001,0.52
121,01/02/2001,0.63
122,01/03/2001,0.27
123,01/04/2001,0.44
124,01/05/2001,0.5
125,01/06/2001,0.74
126,01/07/2001,1.21
127,01/08/2001,0.72
128,01/09/2001,0.39
129,01/10/2001,0.48
130,01/11/2001,0.67
131,01/12/2001,0.77
132,01/01/2002,0.74
133,01/02/2002,0.73
134,01/03/2002,0.52
135,01/04/2002,0.5
136,01/05/2002,0.47
137,01/06/2002,0.37
138,01/07/2002,1.13
139,01/08/2002,0.73
140,01/09/2002,0.67
141,01/10/2002,0.95
142,01/11/2002,1.57
143,01/12/2002,1.65
144,01/01/2003,1.71
145,01/02/2003,1.47
146,01/03/2003,1.22
147,01/04/2003,1.06
148,01/05/2003,0.99
149,01/06/2003,0.47
150,01/07/2003,0.75
151,01/08/2003,0.49
152,01/09/2003,0.67
153,01/10/2003,0.34
154,01/11/2003,0.45
155,01/12/2003,0.6
156,01/01/2004,0.7
157,01/02/2004,0.77
158,01/03/2004,0.8
159,01/04/2004,0.59
160,01/05/2004,0.55
161,01/06/2004,0.49
